description,ccy,etf_contract_code,percentage
Anglo American Plc,ZAR,EASYBF,1.54
ANGLOGOLD ASHANTI PLC,ZAR,EASYBF,2.12
ANHEUSER-BUSCH INBEV SA/NV,ZAR,EASYBF,0.95
BHP GROUP LTD,ZAR,EASYBF,2.39
BOXER RETAIL LTD,ZAR,EASYBF,1.25
Capitec Bank Holdings Ltd,ZAR,EASYBF,4.28
AI ACTIVELY MANAGED ETF,ZAR,EASYBF,20.1
EGE ACTIVELY MANAGED ETF,ZAR,EASYBF,20.5
Fortress Real Estate Investments Limited B,ZAR,EASYBF,2.08
New Gold Issuer Ltd,ZAR,EASYBF,4.40
Glencore Xstrata Plc,ZAR,EASYBF,1.46
Grindrod Ltd,ZAR,EASYBF,2.08
Lewis Group Ltd,ZAR,EASYBF,1.15
MTN Group Ltd,ZAR,EASYBF,1.36
Ninety One Plc,ZAR,EASYBF,0.59
Naspers Ltd - N Shares,ZAR,EASYBF,1.40
NINETY ONE LTD,ZAR,EASYBF,0.70
Pan African Resource,ZAR,EASYBF,2.69
Purple Group Ltd,ZAR,EASYBF,0.60
Resilient Property Income Fund Ltd,ZAR,EASYBF,2.06
Shoprite Holdings Ltd,ZAR,EASYBF,0.54
SOUTHERN SUN LTD,ZAR,EASYBF,0.39
Satrix SA Bond Portfolio,ZAR,EASYBF,12.8
SATRIX GOVI ETF,ZAR,EASYBF,0.71
SATRIX NAS 100,ZAR,EASYBF,4.78
Vukile Property Fund Ltd,ZAR,EASYBF,2.12
INAV - ZAR.CASH,ZAR,EASYBF,4.70
