description,ccy,etf_contract_code,percentage
AECI Ltd,ZAR,EASYBF,0.71
Anglo American Plc,ZAR,EASYBF,1.66
ANGLOGOLD ASHANTI PLC,ZAR,EASYBF,0.86
ANHEUSER-BUSCH INBEV SA/NV,ZAR,EASYBF,1.00
BHP GROUP LTD,ZAR,EASYBF,2.56
BOXER RETAIL LTD,ZAR,EASYBF,0.78
Capitec Bank Holdings Ltd,ZAR,EASYBF,4.04
Discovery Holdings Ltd,ZAR,EASYBF,0.86
AI ACTIVELY MANAGED ETF,ZAR,EASYBF,21.3
EGE ACTIVELY MANAGED ETF,ZAR,EASYBF,21.5
Fortress Real Estate Investments Limited B,ZAR,EASYBF,1.16
New Gold Issuer Ltd,ZAR,EASYBF,4.51
Glencore Xstrata Plc,ZAR,EASYBF,1.68
Grindrod Ltd,ZAR,EASYBF,2.49
Lewis Group Ltd,ZAR,EASYBF,1.04
MTN Group Ltd,ZAR,EASYBF,0.90
Ninety One Plc,ZAR,EASYBF,0.58
Naspers Ltd - N Shares,ZAR,EASYBF,1.42
NINETY ONE LTD,ZAR,EASYBF,0.69
Pan African Resource,ZAR,EASYBF,3.05
Purple Group Ltd,ZAR,EASYBF,0.59
Resilient Property Income Fund Ltd,ZAR,EASYBF,0.60
Shoprite Holdings Ltd,ZAR,EASYBF,0.83
SOUTHERN SUN LTD,ZAR,EASYBF,0.39
Satrix SA Bond Portfolio,ZAR,EASYBF,7.51
SATRIX GOVI ETF,ZAR,EASYBF,0.71
SATRIX NAS 100,ZAR,EASYBF,4.79
Vukile Property Fund Ltd,ZAR,EASYBF,1.21
INAV - ZAR.CASH,ZAR,EASYBF,10.4
