description,ccy,etf_contract_code,percentage
AECI Ltd,ZAR,EASYBF,0.72
Anglo American Plc,ZAR,EASYBF,1.67
ANGLOGOLD ASHANTI PLC,ZAR,EASYBF,0.99
ANHEUSER-BUSCH INBEV SA/NV,ZAR,EASYBF,0.99
BHP GROUP LTD,ZAR,EASYBF,2.50
BOXER RETAIL LTD,ZAR,EASYBF,0.77
Capitec Bank Holdings Ltd,ZAR,EASYBF,4.03
Discovery Holdings Ltd,ZAR,EASYBF,0.83
AI ACTIVELY MANAGED ETF,ZAR,EASYBF,21.9
EGE ACTIVELY MANAGED ETF,ZAR,EASYBF,21.7
Fortress Real Estate Investments Limited B,ZAR,EASYBF,1.15
New Gold Issuer Ltd,ZAR,EASYBF,4.75
Glencore Xstrata Plc,ZAR,EASYBF,1.64
Grindrod Ltd,ZAR,EASYBF,2.46
Lewis Group Ltd,ZAR,EASYBF,0.96
MTN Group Ltd,ZAR,EASYBF,0.82
Ninety One Plc,ZAR,EASYBF,0.60
Naspers Ltd - N Shares,ZAR,EASYBF,1.38
NINETY ONE LTD,ZAR,EASYBF,0.72
Pan African Resource,ZAR,EASYBF,3.85
Purple Group Ltd,ZAR,EASYBF,0.64
Resilient Property Income Fund Ltd,ZAR,EASYBF,0.59
Shoprite Holdings Ltd,ZAR,EASYBF,0.82
SOUTHERN SUN LTD,ZAR,EASYBF,0.39
Satrix SA Bond Portfolio,ZAR,EASYBF,7.39
SATRIX GOVI ETF,ZAR,EASYBF,0.70
SATRIX NAS 100,ZAR,EASYBF,4.82
Vukile Property Fund Ltd,ZAR,EASYBF,1.18
INAV - ZAR.CASH,ZAR,EASYBF,8.80
